lotid	pass
1	True
1	True
1	True
1	True
1	True
1	False
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	False
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	False
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	False
1	True
1	False
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	False
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	False
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	False
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	False
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
1	True
