index,value
0,7.638664880093649
1,7.042229781690257
2,7.657714449628034
3,7.295058911439259
4,7.081373544015021
5,8.458034158333659
6,7.523573555622884
7,6.060467596627854
8,7.868388423004732
9,7.247162382392513
10,7.451002186493462
11,7.73210816044834
12,7.43192955264933
13,7.305870008287223
14,7.6230829555810455
15,7.38071292007591
16,7.701094408247644
17,7.3235609715645635
18,7.915576278504986
19,7.959909121056013
20,7.287438532426334
21,7.886897199998766
22,8.173039058966335
23,7.259109119123645
24,7.285448570552484
25,7.8594397088037296
26,7.981250270969285
27,7.680689314574285
28,7.956603769090391
29,7.6473989595529135
30,7.351371817467568
31,8.057083554664906
32,7.996397926622955
33,7.490035409096731
34,7.5492696994008055
35,8.2077375768182
36,6.951583943459332
37,6.898088282358542
38,7.050473853197483
39,8.176397285056034
40,8.085610708724053
41,7.5380728925967535
42,7.788598970535949
43,8.389290139762075
44,7.642338273149415
45,7.6208068707702035
46,7.676415431749395
47,7.842697708369262
48,7.59240483595687
49,7.683182118580033
50,7.675255801528965
51,7.736203108847985
52,7.857105640681606
53,7.843734477164028
54,7.844324004460092
55,7.910153757953828
56,8.590976303666523
57,7.451376519435197
58,7.378992885951909
59,7.679777759256018
60,8.30052520577032
61,8.05532379922353
62,8.05657809555879
63,7.650823994483352
64,7.38806302452777
65,7.883510930690138
66,7.189431464427937
67,7.858277183531213
68,7.672225438499874
69,8.177240543363375
70,7.475948483897485
71,9.541563725933946
72,7.725828293307459
73,7.969306276100491
74,7.871377733822418
75,7.547907004398165
76,7.381908133618105
77,7.543744943185358
78,7.9444109937625536
79,9.748570804490324
80,7.385189547227086
81,7.893683993263811
82,8.409736219759539
83,7.683811329806215
84,7.976681082637096
85,7.756972307319382
86,7.656895661973307
87,8.337171446068163
88,7.444208202057699
89,7.165298487221129
90,7.153937927090213
91,7.4558902986092725
92,7.906474051903697
93,6.543665180425316
94,7.998849897529711
95,7.502273697012933
96,8.477731314576364
97,5.565578561163065
98,7.8060240372226195
99,7.352759221221859
100,7.403040039787432
101,7.889260747054312
102,7.243301265721167
103,7.755643117622224
104,7.91252438312736
105,7.4472053005123104
106,7.655550239124342
107,7.995344792756216
108,8.385580367188297
109,7.183666117675264
110,7.4999376171676415
111,7.471462323657479
112,7.908218588283017
113,8.100024479280231
114,7.620472895049824
115,7.358669802571521
116,7.757784810717136
117,7.6577042952971155
118,7.668149624331425
119,7.601240187464317
120,8.384816504601494
121,8.070144761290992
122,5.815630939735688
123,7.398290095274674
124,7.7144391664339835
125,7.59549019576652
126,6.291627184721047
127,8.037178823668459
128,7.882370462242053
129,7.586061691138123
130,7.609803125366531
131,8.034784959284561
132,7.6402332533250545
133,8.187065618423519
134,7.445065788942125
135,7.094018825014322
136,7.813344563131959
137,7.311050219206403
138,7.181003060847155
139,7.533244042491998
140,7.834647466740202
141,8.21406005615669
142,7.756966112311078
143,10.476333527957818
144,7.835582579185771
145,7.615847390154754
146,7.219919717579632
147,7.432219437275429
148,7.6347179102159615
149,7.143897140104446
150,7.463698121346576
151,7.853316005889463
152,7.617654275054788
153,5.838454416612346
154,7.6737099691365485
155,7.4572241604672636
156,7.824204303972196
157,7.669423691760594
158,7.770145243866422
159,7.963638855782132
160,7.542858524251585
161,7.1562687693882525
162,4.838041848116418
163,7.935161556234022
164,7.673136452576265
165,8.427173486879422
166,7.996585143107256
167,7.887744577874402
168,7.863477275482022
169,7.486589056143579
170,7.082030909740755
171,7.486922459655147
172,7.492217762133023
173,7.902430230210688
174,7.694253471070026
175,7.203209280554332
176,7.638109203098242
177,7.4769346412788344
178,7.157304851714016
179,8.10330685352877
180,7.886465492559372
181,7.302459808398878
182,7.728707826612429
183,7.562903117310287
184,7.724626513265943
185,7.174466961022334
186,7.839725547931807
187,7.82893818121859
188,7.896785505604645
189,7.833989737427129
190,7.547630769663476
191,7.508728657031592
192,7.446284258398299
193,7.669966716056144
194,7.560655497067193
195,7.772656074594429
196,8.226948757726321
197,7.874559101321193
198,7.489098707186917
199,7.855796368510536
